ISBN,Year,Subjects,Publisher,Language
0786866721,2001,"['Wildlife watching', 'Crimes against']",Talk Miramax Books/Hyperion,English
1552090159,2003,['Books and reading'],Firefly Books,English
078686401X,1995,"['Shipwrecks', 'Titanic (Steamship)']",Hyperion Books,English
0786861614,1997,"['myst', ""d'ni""]",Hyperion,English
0786845430,2003,"['Juvenile fiction', 'Teenage girls']",Disney Press/Volo,English
0804108323,1991,"['Apparent Death', 'Children']",Ivy Books,English
0804113491,1995,,Ballantine Books,English
0786832479,1999,"['Love', ""Children's stories, American""]",Disney Press,English
1551660563,1995,"['Western romance', 'Fiction, romance, contemporary']",Mira,English
1403332258,2002,,1st Books Library,English
1405200669,2002,,Egmont Books Ltd,unknown
1410706575,2003,,1st Books Library,English
006105660X,1997,"['Private investigators', 'Fiction']",Harper Prism,English
1410732746,2003,,1st Books Library,English
1411600649,2003,['Poetry (poetic works by one author)'],Lulu.com,English
0805209069,1988,"['Diaries', 'Austrian Authors']",Schocken Books,English
0805073663,2003,"['Überlebender', 'Indianapolis (Cruiser)']",Holt Paperbacks,English
0805072411,2003,"['Fibromyalgia', 'Handbooks, manuals']",H. Holt and Co.,English
1413705855,2004,,PublishAmerica,English
1414034563,2004,"['Antisemitism', 'History']",1st Books Library,English
0805063331,1999,"['Easter, juvenile literature', 'Easter']",Henry Holt and Co. (BYR),English
0805062831,2003,"['Fiction', 'Humorous stories']",Henry Holt,English
1414052006,2004,['Children: Grades 4-6'],Authorhouse,English
1418449075,2004,"['Fiction', 'Time travel']",AuthorHouse,English
1550170872,1993,"['Journal intime', 'Cancer']",Harbour Publishing,English
1550370146,1988,['Fiction'],Annick Press,English
0805059962,1998,"['Biography', 'Jewish children in the Holocaust']",Metropolitan Books,English
1550416723,2002,"['Fear', 'Juvenile fiction']",Fitzhenry and Whiteside,English
0805022848,1992,"['Anglican Communion', 'Bible']",H. Holt,English
080482052X,1996,"['Interior decoration', 'White in interior decoration']","C.E.Tuttle Co.,U.S.",English
0804818584,1993,"['Country life', 'Social life and customs']",Charles E. Tuttle,English
1551563452,,,,unknown
0804114498,1996,"['Political corruption', 'Fiction']",Ivy Books,English
1551660318,1995,"['Fiction', 'Contemporary Romance novel']",Mira,English
1555031315,1989,"['Fiction', 'Mormons']",Covenant,English
1555613411,2000,"['Massage for infants', 'Infants']",Perseus,English
0761529969,2000,"['Newborn infants', 'Breastfeeding']",Prima Pub.,English
0767910036,2002,"['Biography', 'Journeys']",Broadway Books,English
0767903633,2019,"['Actors', 'United States']",Crown Publishing Group,English
0766607151,2002,"['Horses', 'Black Beauty (Fictitious character)']",Modern Pub.,English
0765305607,2003,"['Fiction', 'Young women']",Orb,English
0765303116,2002,"['Abused children', 'Single fathers']",Forge Books,English
0765302934,2003,"['Biographers', 'Fiction']",Orb Books,English
0765302268,2002,"['Fiction', 'Private investigators']",Forge,English
0764565451,2002,"['Dictionaries', 'English language']",Webster's New World,English
0764550519,1997,"['Cooking & Food', 'Bartending']",IDG Books Worldwide,English
0061020761,2000,"['Fiction', 'History']",HarperEntertainment,English
014015020X,1977,"['American literature', 'Correspondence']",Penguin Books,English
0764534238,1999,"['HTML (Document markup language)', 'Html (document markup language)']",MaranGraphics,English
0140153179,1991,"['Literatura Expressao Inglesa', 'Fiction']",Penguin (Non-Classics),English
076450052X,1996,"['Microsoft Word', 'Word processing']",IDG Books Worldwide,English
0763620874,2004,"['Humorous stories', 'Brothers and sisters']",Candlewick,English
1560768703,1994,"['Dungeons & Dragons Novel', 'collection:DragonLance']",Tactical Strategy Rules,English
1560769254,1994,,Wizards of the Coast,English
156098659X,1994,"['Catalogs', 'Catalogs and collections']",Smithsonian Institution Press,English
1561380229,1991,"['Fiction', 'Romance']",Courage Books,English
0762409363,2001,"['Fiction, fantasy, epic']",Running Press Book Publishers,English
0762406062,1999,['Perfumes'],Running Press,English
0762103280,2001,['Animal behavior'],Readers Digest,English
0761544526,2003,['Electronic games'],Prima Games,English
1561480711,1992,"['Cookery', 'Cooking']",Good Books,English
0761540970,2002,"['Computer games', 'Sims']",Prima Games,English
0767914104,2004,"['Finance', 'Business']",Broadway Books,English
076810131X,1999,"['Buterflies', 'Butterflies']",Learning Horizons,English
1555911765,1994,"['Christianity', 'Indian mythology']",Fulcrum Pub.,English
1555972284,1995,"['Archaeology', 'Fiction']",Graywolf Press,English
1555972403,1996,"['Poetry (poetic works by one author)', 'New York Times reviewed']",Graywolf Press,English
0786813369,2000,"['Fiction', 'People with disabilities']",Hyperion Paperbacks for Children,English
1556343205,1994,"['American wit and humor', 'Spirituality']",Steve Jackson Games,English
1556433468,2000,"['Aikido', 'Psychological aspects of Aikido']",North Atlantic Books,English
0786803118,1998,"['Teddy bears', 'Cats']",Hyperion Books for Children,English
1556615728,2004,"['Women physicians', 'History']",Bethany House Publishers,English
1556702027,1991,"['Pictorial works', 'History']","Stewart, Tabori & Chang",English
0785813500,2001,"['Laments', 'Narrative poetry']",Castle Books,English
0785811249,2000,['Cats'],Book Sales,English
0140106499,1966,"['British and irish fiction (fictional works by one author)', 'Brothers and sisters']",Penguin,English
0785269517,1999,"['Christian women', 'Religious life']",T. Nelson,English
0785267107,2000,"['Spiritual life', 'Christianity']",T. Nelson,English
0783547528,1997,"['Bird watching', 'Identification']",Time-Life Books,English
1557787239,1995,"['Religious literature (selections: extracts, etc.)']",International Religious Foundation,English
078354751X,1994,"[""Observers' manuals"", 'Astronomy']",Time-Life Books,English
0778320170,2004,"['Mothers and daughters', 'Fiction']",MIRA,English
0771595921,1940,,Gage Distribution Co,unknown
0771595662,1987,"['Alligators, fiction', ""Children's fiction""]",Macmillan of Canada,English
0471117099,1995,"['Security measures', 'Telecommunication']",Wiley,English
0894806149,1988,"['Observation', 'Ouvrages pour la jeunesse']",Workman Pub.,English
0373790538,2002,"['Fiction, romance, contemporary', 'Fiction, suspense']",Harlequin,English
3499153629,1984,,Rowohlt Tb.,German
0373802072,2004,"['Fantasy', 'Fantasy']",Luna,English
0373825935,2000,"['Fiction, romance, contemporary', 'West (u.s.), fiction']",harlequin,English
0373836309,2004,"['Fiction, romance, contemporary']",Harlequin,English
0440015405,1980,"['Toy and movable books', ""Children's poetry, English""]",Delacorte Press,English
0439567629,2003,"[""Children's Books/Ages 9-12 Fiction"", 'Witches and warlocks']",Arthur A. Levine Books,Bulgarian
0373871082,2000,"['Women teachers', 'Fiction']",Steeple Hill,English
0439544106,2003,"['Cam (Fictitious character) -- Fiction.', ""Children's fiction""]",Scholastic Inc.,English
3499233495,2003,"['OUR Brockhaus selection', 'Belletristik']",Rowohlt Tb.,German
0373871759,2002,"['Police', 'Fiction']",Steeple Hill,English
349926403X,2002,"['Verhalten', 'Hund']",Wunderlich im Rowohlt,German
0373871775,2002,"['Fiction, romance, general']",Steeple Hill,English
0373871856,2002,"['Fiction, romance, contemporary']",Steeple Hill,English
3499149540,1982,,Rowohlt Tb.,German
3499137461,1996,"['Fiction', 'Harry Haristeen (Fictitious character)']",Rowohlt Tb.,English
044036499X,1987,"['Fiction', ""Noah's ark""]",Laurel,English
0440308453,1978,"['Mythology', 'Chivalry']",A Laurel Classic.,English
0440235294,1999,"['Health & Fitness', 'Nonfiction']",Dell,English
0373763662,2001,"['Fiction, romance, general']",Silhouette,English
3492233503,2001,,Piper,German
3492234747,2002,,Piper Verlag Gmbh,German
3492260292,2002,,Piper,German
0440220211,1996,"['Fiction', 'Indians of North America']",Laurel Leaf,English
0373765215,2003,"['Fiction', 'Man-woman relationships']",Silhouette Books,English
0373765290,2003,"['Fiction', 'Inheritance and succession']",Silhouette Books,English
0060081600,2002,"['Santa in juvenile prison', 'Juvenile poetry']",HarperCollins Publishers,English
3498090275,1972,,Rowohlt,German
0440216885,1995,"['Fiction', 'Seminole Indians']",Dell Publishing,English
0330344951,1996,"['Fiction', 'History']",Pan,English
0373790368,2002,"['Romance', 'Passion']",Harlequin,English
0373872119,2003,"['Christian fiction', 'Fiction, religious']",Steeple Hill Books,English
0439332451,2002,"['Tooth Fairy', 'Fiction']",Scholastic,English
0439306086,2002,"['Magic', 'Juvenile fiction']",Scholastic,English
0375411216,2000,"['Private investigators', 'Criminals']",Knopf,English
0330269194,1983,['Fiction'],Pan Books,English
0312932812,2004,"['Women art teachers', 'Women dog owners']",St. Martin's Paperbacks,English
0375417206,2001,"['Fiction', 'World War, 1939-1945']",Random House Audio,English
0425196550,2004,"['Kidnapping', 'Alien abduction']",Berkley Sensation,English
0425193802,2004,"['Children’s Middle Grade Books', 'Children’s Picture Books']",Berkley Books,English
0375500561,2000,"['Aging', 'Older men']",Random House,English
0425191362,2003,"['Fiction', 'Islands']",Berkley Books,English
0375500723,1997,"['Biography', 'American Authors']",Random House,English
0375500839,1998,"['Childhood and youth', 'Biography']",Random House,English
0375407723,1999,"['Success in business', 'Career development']",Knopf,English
037540435X,1999,"['Fiction', 'Hundertja hriger Krieg']",Random House Audio,German
0374311021,1992,"['Christmas', 'Fiction']","Farrar, Straus and Giroux (BYR)",English
0439236193,2001,"['Gold discoveries', 'Wolfdogs']","Scholastic, Inc.",English
3518398709,2002,"['Alegorías', 'Buddha (The concept)']",Suhrkamp,German
0439232252,2001,"['Stories in rhyme', 'Juvenile fiction']",Scholastic,English
043920786X,2001,"['Juvenile fiction', 'Droon (Imaginary place)']",Scholastic,English
352210580X,1957,"['German language materials', ""Children's stories, German""]",K. Thienemanns,German
0374265828,1998,"['Race relations', 'Slaveholders']","Farrar, Straus and Giroux",English
0439176875,2001,"['Fiction', 'Imaginary places']",Scholastic,English
0312932790,2004,"['Fiction, mystery & detective, general', 'Ohio, fiction']",St. Martin's Paperbacks,English
0439108381,1999,"['Fantasy', 'Unicorns']",Scholastic Paperbacks,English
0374461554,1990,"['Fiction', 'History']","Farrar, Straus & Giroux",English
0374525404,1998,"['Poetry (poetic works by one author)', 'Description and travel']",The Noonday Press,English
0373710976,2002,"['Fiction, romance, contemporary']",Harlequin,English
0440400023,1988,"['Animals', 'Classic Literature']",Dell Pub.,English
0425153436,1994,"['Children, death', 'Spiritualism']",Berkley Books,English
0373218117,2003,"['Fiction', 'Genetic engineering']",Silhouette Books,English
000639194X,2002,"['Bats', 'Large type books']",HarperCollins Canada,English
0373226276,2001,"['Fiction, romance, general']",Harlequin,English
0373240260,1996,"['Fiction, romance, general', 'Stepfamilies']",Silhouette,English
0373241038,1997,"['Fiction, general']",Silhouette,English
0373241224,1997,"['Fiction, general']",Silhouette,English
0312314256,2003,"['Horror tales', 'Fantasy fiction']",St. Martin's Griffin,English
0441070159,1987,"['Adaptations', 'Arthurian romances']",Ace,English
0312316801,2003,"['Women martial artists', 'Vampires']",St. Martin's Griffin,English
3442730503,2003,"['Student', 'Theaterwissenschaft']",Btb Bei Goldmann,German
3442760070,2001,,Berliner Taschenbuchverlag,German
3446180710,1996,"['Scho\x98pfung', 'Kinderbuch']",Carl Hanser,German
0441011098,2003,"['Austra family (Fictitious characters)', 'Fiction']",Berkley Publ. Gr.,English
0060114193,1976,"['Fiction', 'Latin American fiction']",Harper & Row,English
0373201370,1997,"['Texas, fiction', 'Fiction, romance, contemporary']",harlequin,English
0373201125,1995,"['Fiction, romance, historical', 'Fiction, romance, historical, general']",Harlequin,English
0312860633,1996,"['James Bolivar DiGriz (Fictitious character)', 'Fiction']",Tor,English
037319711X,2004,"['Single mothers', 'Fiction']",Silhouette Books,English
0373169620,2003,"['Fiction, romance, contemporary']",Harlequin,English
006016722X,1991,"['Cocktails', 'Cooking & Food']",HarperCollins Publishers,English
0312290578,2004,"['Real estate development', 'Gated communities']",St. Martin's Minotaur,English
9500285533,2000,"['Fiction', 'Treasure Island (Imaginary place)']",El Ateneo,Spanish
0446405310,1997,"['Fiction', 'Herbalists']",Mysterious Press,English
037319692X,2003,"['Fiction', 'Nurses']",Silhouette Books,English
0446405159,1997,"['Fiction', 'Herbalists']",Mysterious Press,English
0446395382,1994,"['Sexual excitement', 'Sex']",Warner Books,English
0446387630,1988,"['Liquors', 'Cocktails']",Warner Books,English
9500285339,2000,,El Ateneo,Spanish
0312304110,2004,"['Private investigators', 'Ex-police officers']",St. Martin's Minotaur,English
9146169806,2000,,Wahlström & Widstrand,Swedish
3442446708,1999,"['Detective and mystery stories', 'Open Library Staff Picks']",Goldmann,German
0446310425,1982,"['Fiction', 'African Americans']",Not Avail,English
0060160772,1989,"['Attitude to Health', 'Autogenic training']",Harper & Row,English
031231826X,2004,"['Older women', 'Birthday parties']",Thomas Dunne Books/St. Martin's Press,English
0312318898,2004,"['Ichirō Sano (Fictitious character)', 'Government investigators']",St. Martin's Minotaur,English
0373484283,2001,"['Fiction', 'Cowboys']",Silhouette,English
044050306X,1990,"['Fantasy', 'Fiction']",Dell,English
0440501628,1989,['House cleaning'],Dell Pub.,English
0440495717,1985,"['Fiction', 'Juvenile audience']",Yearling,English
3453212614,2002,"['Beschneidung', 'Ma dchen']",Heyne,German
0440476968,1987,"['Schools', 'Juvenile fiction']",Dell,English
3453861124,2002,,Heyne,unknown
0440474655,1977,"['Fiction', 'Historical Fiction']",Yearling,English
3453868641,2003,"['Fiction', 'Science Fiction']",Heyne,German
0373691211,2003,"['Chauffeurs', 'Seduction']",Harlequin Books,English
037370402X,1990,"['Fiction, general']",harlequin,English
0440422310,1986,"['Fiction', 'Cousins']",Dell Pub. Co.,English
0440417120,2000,"['Movie novels', 'Fiction']",Yearling,English
0373708408,1999,"['Fiction, romance, general']",Harlequin,English
0440506913,1993,"['Childbirth', 'Embarazo']",DTP/Seymour Lawrence,English
3453164121,2004,"['Mechanical Hound', 'girl next door']",Wilhelm Heyne Verlag,German
0440508827,1999,"['Leonardo, da vinci, 1452-1519', 'Problems, exercises']",Dell,English
037328960X,1997,"['Fiction, general']",Harlequin Books,English
0373259824,2002,"['Fiction', 'Contemporary Romance']",Harlequin,English
037326254X,1997,"['Fiction', 'Molly Masters (Fictitious character)']",Worldwide,English
0441003702,1996,"['Fiction, science fiction, general', 'Fiction, short stories (single author)']",Ace Books,English
037328957X,1997,"['Fiction, general']",Harlequin,English
3453123840,1998,"['succubus', 'demons']",Heyne,German
0440911257,1980,"['Juvenile fiction', 'Princesses']",Laurel Leaf,English
0373484070,2000,"['Texas, fiction', 'Fiction, romance, general']",Silhouette,English
0373290446,1998,"['Fiction, Romance, Historical, Western']",harlequin,English
0440911230,1977,,Laurel Leaf,English
0373291302,2000,"['Fiction, romance, historical', 'Fiction, romance, historical, general']",harlequin,English
0373483201,1994,"['Fiction', 'Cowboys']",Silhouette Books,English
0312848803,2001,"['Fantasy', 'Kings and rulers']",Tor,English
0312848811,2002,"['Fiction, fantasy, epic']",Tor,English
0425161110,1997,"['Sisters', 'Women detectives']",Berkley Prime Crime,English
0425151565,1996,"['Miracles', 'Christian life']",Guideposts,English
0373116373,1991,"['Fiction, Romance, Contemporary', 'Gambling']",Harlequin Books,English
0380756072,1988,"['Shamanism', 'Mental healing']",AvoneBooks,English
038077352X,1994,"['collectionID:DHromance', 'collectionID:bodice_ripper']",Avon Books,English
8420613207,1987,"['Anachronisms', 'speculative fiction']",Alianza Editorial,Spanish
0394731271,1985,"['Handbooks, manuals', 'Identification']",Knopf,English
0394727940,1979,"['Public opinion', 'Indian influences']",Vintage Books,English
0394715195,1983,"['Gifts', 'Economic anthropology']",Vintage Books,English
0394565282,1989,"['Dictionaries', 'Popular Medicine']",Random House,English
0394562690,1987,,Random House,English
039456152X,1987,"['Race relations', 'Reminiscing in old age']",Random House,English
0394510496,1980,"['Ceramics', 'Gift shops']",Knopf : distributed by Random House,English
039397281X,1999,"['Don Quixote (Cervantes Saavedra, Miguel de)', 'Quotations']",W.W. Norton,English
039396647X,1996,"['Classic', 'History']",Norton,English
0316532843,1989,"['Literary collections', 'Christmas']","Little, Brown and Company",English
0393954765,1986,,W. W. Norton & Company,English
0394800788,1954,"['Stories in rhyme', 'Fantasy']",Random House,English
0395071763,1990,"['Friendship', 'Fiction']",Houghton Mifflin,English
8420400181,2003,['Novela española'],Alfaguara,Spanish
0020961502,1977,"['Indian women', 'Indians of North America']",Macmillan,English
0380709988,1990,"['Paleontology', 'Natural history']",Avon Books,English
0394843770,1980,"['Rabbits', 'Fiction']",Random House,English
0394839196,1969,"['Fiction', 'Horses']",Random House,English
0316744441,1993,"['Dictionaries', 'Personal Names']","Little, Brown",English
0394836103,1977,"['Adventure and adventurers', 'Fiction']",Random House Books for Young Readers,English
0394835638,1977,"['Stories in rhyme', 'Wishes']",Beginner Books,English
0316739235,1998,"['Stories in rhyme', 'Conduct of life']","Little, Brown",English
0394829239,1981,"['Apples', 'Fiction']",Random Ho.,und
0394810090,1964,"['Dictionaries, Juvenile', 'English Picture dictionaries']",Random House,English
0316516007,2001,"['September 11 terrorist attacks, 2001']",Little Brown & Co (T),unknown
0393325237,2003,"['Carbon dioxide', 'Environmental aspects']",Norton,English
0393323048,2002,"['Correspondence', 'Soldiers']",W. W. Norton & Company,English
8423328651,1997,"['futurology', 'censorship']",La Marca Editora,Spanish
0316057452,1981,"['Evolution', 'Zoology']","Little, Brown",English
0316057487,1984,"['Biosphere', 'Biology']","Little, Brown",English
038519093X,1985,"['Girls', 'Juvenile fiction']",Doubleday,English
0385239548,1989,"['Trail of Tears, 1838', 'Indians of North America']",Anchor Books,English
0385244320,1989,"['Miscellanea', 'History']",Doubleday,English
8445070320,1977,"['The Lord of the Rings', 'Fiction']",Minotauro,Spanish
0316106224,1998,['Desserts'],"Little, Brown",English
0316106380,1990,"['Entertaining', 'Christmas decorations']","Little, Brown",English
0385299362,1993,"['Biography', 'Case studies']",Delacorte Press,English
0007144350,2003,"['Literary collections', 'Collected works (single author, multi-form)']",HarperCollins,English
0316108537,1993,"['Imagination', 'Penguins']","Little, Brown",English
8445071793,1995,"['The Lord of the Rings', 'Fiction']",Minotauro,Spanish
0385483309,1995,"['American Personal narratives', 'American Aerial operations']",Doubleday,English
8434896109,2006,"['Hypnotism', 'Molly Moon (Fictitious character)']",Ediciones SM,Spanish
8429716823,1998,"['fiction', 'short stories']",Edicions 62,Catalan
0316507350,1993,"['Judaism', 'Jewish way of life']","Little, Brown",English
0393309762,1993,"['Modern Military history', 'Translations into English']",W.W. Norton,English
0316399728,2001,"['Dream interpretation', 'Magic']","Little, Brown",English
0393308812,1992,"['Unicorns in art', 'Lady and the unicorn']",W.W. Norton,English
8423995801,1997,"['Spanish drama', 'Women']",Espasa Calpe,Spanish
842542092X,1998,"['Nazi concentration camps', 'psychotherapy']",Herder & Herder,und
0393014894,1981,"['History', 'Craniometry']",Norton,English
0385730012,2002,"['Death', 'Traffic accidents']",Delacorte Press,English
0385501722,2001,"['Fiction', 'Women college students']",Nan A. Talese/Doubleday,English
0385497709,2000,"['Social life and customs', 'Description and travel']",Nan A. Talese,English
0385494343,1998,"['Catholic Church', 'Biography']",Image Books,English
002011690X,1973,"['Indian craft', 'Indians of North America']",Macmillan,English
0385093799,1989,"['Chinese fiction', 'Translations into English']",Anchor Books,English
0316193658,2001,"['Fiction, short stories (single author)', 'Southern states, fiction']",Back Bay Books,English
0394873319,1986,"['Clubs', 'Sex role']",Random House,English
0395082544,1954,"['Elves', 'Dwarves']",Houghton Mifflin Co.,English
0425134709,1992,"['American Ghost stories', 'Ghost stories']",Berkley Books,English
0415167914,1998,"['Niños', 'Psycholinguistics']",Routledge,English
0413591808,1986,"['Fiction, family life', 'Single women, fiction']",Methuen Publishing Ltd,English
0399526544,2001,"['Bibliography', 'First editions']",Berkley Pub. Group,English
0375756663,2001,"['Travel', 'United states, guidebooks']",Villard,English
0399207589,2009,"['Toy and movable books', 'Fiction']",Penguin,English
0399152008,2004,"['Joe Pickett (Fictitious character)', 'Detective and mystery stories']",G.P. Putnam's Sons,English
0316931276,1980,"['English Folk songs', 'Folk songs']","Little, Brown",English
0375802924,2001,"['Fiction', 'Graduation (School)']",Random House,English
0375804358,2000,['Dinners and dining'],Random House Books for Young Readers,English
0399133496,1988,"['Detective and mystery stories', 'Open Library Staff Picks']",Putnam,English
0399132635,1987,"['Dogs', 'Serial murders']",Putnam,English
0375726802,2001,"['Fantasy fiction', 'Fiction']",Vintage Books,English
0375704752,1999,"['History', 'Meaning (Philosophy)']",Vintage,English
0375503838,2000,,Villard Books,English
3596294339,1991,"['Fiction', 'Sanatoriums']",Fischer Taschenbuch,German
0041490355,1982,"['Yoga', 'Hatha yoga']",Unwin Paperbacks,English
0425093220,1985,"['Immigrants', 'Fiction']",Berkley,English
3608935444,1999,"['The Lord of the Rings', 'Fiction']","J.G. Cotta'sche, Buchhandlung Nachfolger GmbH",German
0425064905,1983,"['Hugo Award Winner', 'award:hugo_award=1962']",Berkley Books,English
0312962436,1997,"['collectionID:bodice_ripper', 'Fiction']",St. Martin's Paperbacks,English
0425057739,1982,"['Fiction', 'Hugo Award Winner']",Berkley,English
0425055272,1982,"['Fiction, fantasy, epic', 'Warriors']",Berkley,English
3746616905,2001,,Aufbau Tb,German
0375805613,2000,"[""Children's Media Tie-In Books"", 'Children’s Board Books']",CTW Books,English
0395964644,2000,"['Identification', 'Birds']",Houghton Mifflin Company,English
0395304482,1981,"['Play', 'Juvenile fiction']",Houghton Mifflin Co.,English
0395299179,1980,"['English Fantasy fiction', 'Middle Earth (Imaginary place)']",Houghton Mifflin,English
0395272238,1978,"['Elves', 'Dwarves']",Houghton Mifflin Company,English
0027582000,1983,"['the Blitz', 'fauns']",Macmillan,English
0027436292,1990,"['Arabian horse', 'Fiction']",Simon & Schuster Children's Publishing,English
0316806250,1994,"['Diaries', 'Fiction']","Little, Brown",English
038070367X,1987,"['87th Precinct (Imaginary place)', 'Fiction']",Avon,English
0316817333,1987,"['Bird attracting', 'Bird feeders']","Little, Brown",English
0376035730,1992,['Perennials'],Sunset Pub. Corp.,English
0395957907,1999,"['Fiction', 'Impostors and imposture']",Mariner Books,English
0375821856,2003,"['Fiction', 'Mice']",Random House,English
0375823360,2002,"[""Children's fiction"", 'Fantasy fiction']",Knopf Books for Young Readers,English
3822881643,2001,['Photography of women'],Benedikt Taschen Verlag,English
0376033371,1983,['House plants'],Sunset Pub. Corp.,English
0380000385,1973,"['American Science fiction', 'English Science fiction']",Avon,English
0395870828,1997,"['Frogs', 'Fiction']",Clarion Books,English
0395754100,1995,"[""Children's stories, American"", 'Curious George (Fictitious character)']",Houghton Mifflin,English
3872947796,1999,"['Humorous stories', 'Animals']",Schoenhofsforeign Books Inc,German
3895082848,1997,"['Chicago (ill.), buildings, structures, etc.', 'Architecture, united states']",Konemann,English
039551083X,1978,['Weight loss'],Houghton Mifflin Trade,English
0385323301,1996,"['Social Issues - Friendship', 'Juvenile Fiction']",Delacorte Press,English
0452269431,1993,"['Fiction, horror', 'Dracula, count (fictitious character), fiction']",Plume,English
0345452038,2002,"['Forensic sciences', 'Crime scene searches']",Ballantine Books,English
0345450264,2002,"['Biography', 'Soldiers']",Ballantine Books,English
0345312058,1983,"['American Science fiction', 'Fiction']",Del Rey,English
0449911683,1996,"['Artists', 'Fiction']",Fawcett Columbine,English
0452271681,2003,"['Biography', 'Description and travel']",Plume,English
3404242041,1995,,Lübbe,German
0004704746,1997,"['Early Modern and Elizabethan English Drama', 'English literature']",HarperCollins Publishers Limited,English
3406392563,1996,,C.H.Beck,German
0451152301,1988,"['American Fantasy fiction', 'Magic']",Roc,English
0451154924,1982,"['Neurology', 'Periodicals']",Signet,English
0451158261,1963,"['American fiction (fictional works by one author)', 'Fiction, psychological']",Penguin Publishing Group,English
0451159950,1989,"['Fiction, general']",New American Library,English
0345432487,2002,"['Humor', 'Politics and government']",Ballantine Books,English
0451161688,1928,"['Fiction', 'Frontier and pioneer life']",Signet,und
0451174399,1992,"['Serial murders', 'Fiction']",Signet,English
0345456440,2004,"['Fantasy', 'Fiction']",Del Rey/Ballantine Books,English
0449907538,1992,"['Administration of Criminal justice', 'Biography']",Fawcett Columbine,English
0446922226,1976,"['Singers', 'Biography']",Warner Books,English
0373029780,1989,"['Women singers', 'Fiction']",harlequin,English
0448417359,1997,"['Horses', 'Horse sports']",Grosset & Dunlap,English
0452273536,1994,"['Jews', 'Persecutions']",Penguin Books,English
0448433400,1940,"['Readers (Primary)', 'Readers (Elementary)']",Grossett & Dunlap,English
0312276761,2003,"['Government investigators', 'Women lawyers']",St. Martin's Press,English
0373063121,2001,"['Fiction, Romance, Contemporary, Medical', 'Nurses, fiction']",Harlequin,English
0449123812,1982,,Fawcett,English
3423110333,1995,"['Women', 'Fiction']",Deutscher Taschenbuch Verlag GmbH & Co.,German
342310810X,1987,"['migrant labor', 'historical fiction']",Deutscher Taschenbuch Verlag,German
0345465393,2004,,Ballantine Books,unknown
2290304557,2000,,Editions 84,French
0449220222,1991,"['Humor', 'Comic strips & cartoons']",Fawcett Crest,English
0312267061,2000,"['Human-animal relationships', 'Cats']",St. Martin's Griffin,English
0449703983,1991,['Fantasy'],Fawcett,English
0345310292,1978,"['Fiction', 'Thomas Covenant (Fictitious character)']",Ballantine Books,English
9685368503,2004,"['Chilean Love poetry', 'Poesía amorosa chilena']",Editorial y Distribuidora Leo,Spanish
0452265622,1991,"['Description and travel', 'Intellectual life']",Plume,English
0451197119,1997,"['Diana, princess of wales, 1961-1997']",Consumer Guide,English
0451518659,1985,"['futurology', 'censorship']",Signet Classics,English
9726390001,1987,"['Fiction', 'Fantasy']",Caravela,Portuguese
0345362594,1992,['Fantasy'],Del Rey,English
0345358074,1990,,Del Rey,English
0451456750,1998,"['Fiction', 'Time travel']",Roc,English
0345327853,1985,"['Fiction, romance, historical']",Ballantine Books,English
0451517407,1963,"['Drama', 'Othello (Fictitious character)']",New American Library,English
0345278666,1978,"['American Authors', 'American Novelists']",Ballantine Books,English
0451524179,1987,"['Fiction, general', 'Friendship, fiction']",Signet Classics,English
0345338219,1986,"['Fiction', 'Science fiction']",Del Rey,English
0451524071,1980,"['19th century', 'American Authors']",New American Library,English
0451519574,1960,"['YA', 'Young adult']",Signet Classics,English
0451520807,1987,"['Fiction, general', 'Friendship, fiction']",Signet Classics,English
0451521072,1987,"['Miniature books', 'Translations into French']",Signet Classics,English
0451521129,1987,"['Fiction', 'Juvenile fiction']",Signet Classic,English
0345272552,1979,"['Fantasy fiction', 'Short stories']",Ballantine Books,English
0345335945,1985,"['Fiction', 'Fantasy']",Del Rey,English
0451526813,1998,"['mistaken identities', 'performing arts']",Signet Classic,English
0451451317,1992,"['Fiction', 'Discworld (Imaginary place)']",Roc,English
034536774X,1994,"['Fiction', 'Women in fiction']",Ballantine Books,English
0345315324,1984,"['Castles', 'Fiction']",Del Rey,English
0312206488,1999,"['Fiction', 'Kings and rulers']",St. Martin's Griffin,English
0345407865,2008,"['Biography', 'Family']",Ballantine Books,English
0345318595,1984,"['Science fiction', 'Hugo Award Winner']",Del Rey,English
0345406354,2001,"['Fiction', 'Wolves']",Ballantine Pub. Group,English
0345396529,1996,"['Fiction, fantasy, epic', 'Shannara (imaginary place), fiction']",Ballantine Books,English
0451822196,1985,"['Maine in fiction', 'Werewolves']",Signet,English
0345386663,1994,"['Comics & graphic novels, general', 'Garfield (fictitious character), fiction']",Ballantine Books,English
9723704552,1997,,Assírio & Alvim,Portuguese
0345373952,1992,,Del Rey,English
0451628810,1999,"['Classic Literature', 'Fiction']",Mentor,English
2290321125,2004,"['thrillers', 'supernatural']",J'ai lu,French
3123512304,1981,"['Good and evil', 'Drama']",Klett,German
0345323890,1985,,Del Rey,English
0451627245,1999,"['Constitutional law', 'Constitutions']",Mentor,English
0312194552,2000,"['Description and travel', 'Travel']",St. Martin's Griffin,English
2290215627,2000,"['Gaviotas', 'Open Library Staff Picks']",J'ai lu,French
0345303369,1982,"['Vietnam War, 1961-1975', 'American Personal narratives']",Ballantine Books,English
